trade_date,universe_count,d1_missing_daily_count,d1_price_fail_count,d1_liquidity_fail_count,d1_non_common_fail_count,d1_market_cap_fail_count,d1_gap_fail_count,d1_rel_vol_fail_count,d1_close_strength_fail_count,watchlist_count,scan_missing_first5_count,scan_gap_fail_count,scan_range_fail_count,scan_oc_ret_fail_count,scan_pace_fail_count,scan_vwap_fail_count,candidate_0935_count
2026-01-14,2000,33,970,959,2,14,22,0,0,0,0,0,0,0,0,0,0
2026-01-15,2000,30,972,960,2,14,21,1,0,0,0,0,0,0,0,0,0
2026-01-16,2000,26,968,968,2,15,21,0,0,0,0,0,0,0,0,0,0
2026-01-20,2000,22,970,971,2,14,21,0,0,0,0,0,0,0,0,0,0
2026-01-21,2000,21,967,974,2,14,21,1,0,0,0,0,0,0,0,0,0
2026-01-22,2000,20,971,971,2,14,22,0,0,0,0,0,0,0,0,0,0
2026-01-23,2000,20,972,969,2,15,22,0,0,0,0,0,0,0,0,0,0
2026-01-26,2000,20,972,968,2,16,22,0,0,0,0,0,0,0,0,0,0
2026-01-27,2000,20,974,965,2,16,22,1,0,0,0,0,0,0,0,0,0
2026-01-28,2000,20,976,962,3,16,23,0,0,0,0,0,0,0,0,0,0
2026-01-29,2000,19,973,967,3,16,22,0,0,0,0,0,0,0,0,0,0
2026-01-30,2000,19,978,962,3,15,22,0,0,1,0,1,0,0,1,0,0
2026-02-02,2000,18,978,957,3,17,27,0,0,0,0,0,0,0,0,0,0
2026-02-03,2000,17,982,957,3,17,23,1,0,0,0,0,0,0,0,0,0
2026-02-04,2000,16,987,949,3,17,26,2,0,0,0,0,0,0,0,0,0
2026-02-05,2000,16,989,949,3,15,28,0,0,0,0,0,0,0,0,0,0
2026-02-06,2000,16,991,944,2,17,30,0,0,0,0,0,0,0,0,0,0
2026-02-09,2000,16,990,947,3,16,25,3,0,0,0,0,0,0,0,0,0
2026-02-10,2000,16,990,948,2,16,28,0,0,0,0,0,0,0,0,0,0
2026-02-11,2000,16,988,948,2,17,29,0,0,0,0,0,0,0,0,0,0
2026-02-12,2000,16,1003,932,2,18,29,0,0,0,0,0,0,0,0,0,0
2026-02-13,2000,16,1002,933,2,18,29,0,0,0,0,0,0,0,0,0,0
2026-02-17,2000,16,996,939,2,18,29,0,0,0,0,0,0,0,0,0,0
2026-02-18,2000,16,998,934,2,19,31,0,0,0,0,0,0,0,0,0,0
2026-02-19,2000,16,996,935,2,19,31,0,1,0,0,0,0,0,0,0,0
2026-02-20,2000,16,1003,929,2,19,31,0,0,0,0,0,0,0,0,0,0
2026-02-23,2000,16,995,936,2,19,32,0,0,0,0,0,0,0,0,0,0
2026-02-24,2000,16,994,936,2,20,31,1,0,0,0,0,0,0,0,0,0
2026-02-25,2000,15,997,935,2,20,31,0,0,0,0,0,0,0,0,0,0
2026-02-26,2000,15,996,934,2,21,29,3,0,0,0,0,0,0,0,0,0
2026-02-27,2000,15,998,934,2,18,33,0,0,0,0,0,0,0,0,0,0
2026-03-02,2000,15,999,935,2,18,31,0,0,0,0,0,0,0,0,0,0
2026-03-03,2000,15,992,941,2,19,29,2,0,0,0,0,0,0,0,0,0
2026-03-04,2000,15,987,946,2,19,31,0,0,0,0,0,0,0,0,0,0
2026-03-05,2000,15,986,949,2,17,29,2,0,0,0,0,0,0,0,0,0
2026-03-06,2000,15,987,945,3,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-09,2000,15,977,955,3,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-10,2000,15,975,956,4,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-11,2000,15,975,955,4,19,32,0,0,0,0,0,0,0,0,0,0
2026-03-12,2000,15,971,960,4,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-13,2000,15,971,960,4,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-16,2000,15,968,963,4,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-17,2000,15,969,962,4,18,30,2,0,0,0,0,0,0,0,0,0
2026-03-18,2000,15,974,957,4,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-19,2000,15,979,950,5,19,32,0,0,0,0,0,0,0,0,0,0
2026-03-20,2000,15,981,949,5,19,31,0,0,0,0,0,0,0,0,0,0
2026-03-23,2000,15,979,952,5,18,31,0,0,0,0,0,0,0,0,0,0
2026-03-24,2000,15,983,948,5,18,30,1,0,0,0,0,0,0,0,0,0
2026-03-25,2000,15,980,950,5,19,31,0,0,0,0,0,0,0,0,0,0
2026-03-26,2000,15,985,945,5,18,31,1,0,0,0,0,0,0,0,0,0
2026-03-27,2000,15,984,947,4,18,32,0,0,0,0,0,0,0,0,0,0
2026-03-30,2000,15,986,944,4,18,32,0,1,0,0,0,0,0,0,0,0
2026-03-31,2000,15,981,947,4,19,34,0,0,0,0,0,0,0,0,0,0
2026-04-01,2000,15,988,941,4,18,33,1,0,0,0,0,0,0,0,0,0
2026-04-02,2000,15,986,946,4,18,31,0,0,0,0,0,0,0,0,0,0
2026-04-06,2000,15,981,951,4,18,30,1,0,0,0,0,0,0,0,0,0
2026-04-07,2000,15,983,949,4,18,31,0,0,0,0,0,0,0,0,0,0
2026-04-08,2000,15,982,952,3,18,30,0,0,0,0,0,0,0,0,0,0
2026-04-09,2000,15,991,943,3,19,16,11,2,0,0,0,0,0,0,0,0
2026-04-10,2000,15,996,934,4,19,32,0,0,0,0,0,0,0,0,0,0
2026-04-13,2000,15,999,930,5,19,32,0,0,0,0,0,0,0,0,0,0
2026-04-14,2000,15,995,934,5,19,32,0,0,0,0,0,0,0,0,0,0
2026-04-15,2000,14,1001,932,6,20,25,2,0,0,0,0,0,0,0,0,0
2026-04-16,2000,14,996,937,6,20,26,0,1,0,0,0,0,0,0,0,0
2026-04-17,2000,14,997,936,6,19,28,0,0,0,0,0,0,0,0,0,0
