trade_date,symbol,branch_label,regime_label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,gross_trade_ret,trade_ret,MFE,MAE,sector,price_bucket,market_cap_bucket,calendar_year,quarter_label,avg_dollar_volume_20,liquidity_bucket,slippage_bps_per_side,fee_bps_round_trip,first5_range_pos,first5_pace,close_vs_vwap
2025-04-10,AG,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-04-10T09:36:00-04:00,5.88294,5.81,6.02882,2025-04-10T10:17:00-04:00,6.028674154999999,target,2.477233407105963,2.457233407105963,4.709549986911315,-0.8998901909589346,Basic Materials,03-10,gt_10b,2025,2025-Q2,3079816.6875,low,5.0,2.0,1.0,2.85106968724417,0.7952661842671072
2025-04-10,AG,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-04-10T09:36:00-04:00,5.836873339905361,5.81,5.890620019716085,2025-04-10T09:36:00-04:00,5.8905662850144545,target,0.9198922433695235,0.8998922433695234,5.535954633202267,-0.11775722214785568,Basic Materials,03-10,gt_10b,2025,2025-Q2,3079816.6875,low,5.0,2.0,1.0,2.85106968724417,0.7952661842671072
2025-05-06,BCRX,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-05-06T09:36:00-04:00,10.890442499999999,10.58,11.511327499999997,2025-05-06T09:54:00-04:00,10.574710000000001,stop,-2.899170534163305,-2.919170534163305,0.3632313379369186,-7.2581302366731135,Healthcare,10-20,2b_to_10b,2025,2025-Q2,2118377.1285,low,5.0,2.0,0.7868852459016408,6.977747890653739,0.7515675565054947
2025-05-06,BCRX,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-05-06T09:35:00-04:00,10.761415151017145,10.58,11.124245453051435,2025-05-06T09:54:00-04:00,10.574710000000001,stop,-1.7349498035069917,-1.7549498035069917,1.5665676550627312,-6.146172615175336,Healthcare,10-20,2b_to_10b,2025,2025-Q2,2118377.1285,low,5.0,2.0,0.7868852459016408,6.977747890653739,0.7515675565054947
2025-05-08,ASST,continuation_compare,regime_a_open_above_prev_close,2025-05-08T09:39:00-04:00,6.44322,5.33,8.66966,2025-05-08T09:51:00-04:00,5.327335000000001,stop,-17.318747458568843,-17.338747458568843,34.870452972271615,-22.3990489227436,Financial Services,03-10,300m_to_2b,2025,2025-Q2,833417.7010000001,micro,5.0,2.0,1.0,12.627776428761019,10.993122983430826
2025-05-13,ARRY,continuation_compare,regime_a_open_above_prev_close,2025-05-13T09:35:00-04:00,8.18409,7.62,9.312269999999998,2025-05-13T15:55:00-04:00,8.250872500000002,time_exit,0.8160039784508991,0.7960039784508991,8.319923168000361,-1.3940462531570295,Technology,03-10,300m_to_2b,2025,2025-Q2,2324163.831,low,5.0,2.0,1.0,7.128849489440317,1.008529588839635
2025-05-13,AS,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-05-13T09:36:00-04:00,30.255119999999998,28.96,32.84535999999999,2025-05-13T15:55:00-04:00,31.214385000000004,time_exit,3.170587325384945,3.150587325384945,3.866717434933336,0.1152862722078152,Consumer Cyclical,20-40,gt_10b,2025,2025-Q2,5144608.553,mid,5.0,2.0,0.8828125000000009,6.860250519822202,2.192647440144735
2025-05-13,AS,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-05-13T09:35:00-04:00,29.566440726659575,28.96,30.779322179978724,2025-05-13T10:06:00-04:00,30.778109594357854,target,4.09812218826102,4.078122188261021,6.286043323654419,1.7369668472720663,Consumer Cyclical,20-40,gt_10b,2025,2025-Q2,5144608.553,mid,5.0,2.0,0.8828125000000009,6.860250519822202,2.192647440144735
2025-05-14,ACHR,reclaim_first5_high,regime_b_open_at_or_below_prev_close,2025-05-14T09:36:00-04:00,11.335664999999999,10.98,12.046994999999995,2025-05-14T15:55:00-04:00,11.85407,time_exit,4.573220891760664,4.553220891760664,4.8901850928022474,-2.6082722098791704,Industrials,10-20,2b_to_10b,2025,2025-Q2,6058919.124000001,mid,5.0,2.0,0.742857142857143,11.238522351334161,0.5535201680284763
2025-05-14,ACHR,reclaim_vwap,regime_b_open_at_or_below_prev_close,2025-05-14T09:35:00-04:00,11.183945954118089,10.98,11.591837862354266,2025-05-14T13:43:00-04:00,11.591430069624419,target,3.6434735752302925,3.6234735752302925,6.313103163932336,-1.2870766249106105,Industrials,10-20,2b_to_10b,2025,2025-Q2,6058919.124000001,mid,5.0,2.0,0.742857142857143,11.238522351334161,0.5535201680284763
