symbol,name,exchange,quote_type,sector,suffix_pattern,security_type,market_cap,market_cap_bucket
A,"Agilent Technologies, Inc.",NYQ,EQUITY,Healthcare,common_like,common_stock,34469666816.0,gt_10b
AA,Alcoa Corporation,NYQ,EQUITY,Basic Materials,common_like,common_stock,17314664448.0,gt_10b
AACB,Artius II Acquisition Inc.,NGM,EQUITY,Financial Services,common_like,common_stock,286989760.0,50m_to_300m
AACBR,Artius II Acquisition Inc.,NGM,EQUITY,,rights,rights,,unknown
AACBU,Artius II Acquisition Inc.,NGM,EQUITY,Financial Services,unit,unit,269372480.0,50m_to_300m
AACG,ATA Creativity Global,NCM,EQUITY,Consumer Defensive,common_like,common_stock,43460296.0,lt_50m
AADR,AdvisorShares Dorsey Wright ADR ETF,NGM,ETF,,common_like,etf,,unknown
AAEQ,Alpha Architect US Equity 2 ETF,NGM,ETF,,common_like,etf,,unknown
AAL,American Airlines Group Inc.,NMS,EQUITY,Industrials,common_like,common_stock,8438692352.0,2b_to_10b
AALG,Leverage Shares 2X Long AAL Daily ETF,NGM,ETF,,common_like,etf,,unknown
AAM,AA Mission Acquisition Corp.,NYSE,UNKNOWN,,common_like,common_stock,,unknown
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",NYSE,UNIT,,unit,unit,,unknown
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",NYSE,WARRANT,,warrant,warrant,,unknown
AAME,Atlantic American Corporation,NGM,EQUITY,Financial Services,common_like,common_stock,53134780.0,50m_to_300m
AAMI,Acadian Asset Management Inc.,NYQ,EQUITY,Financial Services,common_like,common_stock,2383052544.0,2b_to_10b
AAOI,"Applied Optoelectronics, Inc.",NGM,EQUITY,Technology,common_like,common_stock,12382968832.0,gt_10b
AAON,"AAON, Inc.",NMS,EQUITY,Industrials,common_like,common_stock,7691672576.0,2b_to_10b
AAP,"Advance Auto Parts, Inc.",NYQ,EQUITY,Consumer Cyclical,common_like,common_stock,3468326144.0,2b_to_10b
AAPB,GraniteShares 2x Long AAPL Daily ETF,NGM,ETF,,common_like,etf,,unknown
AAPD,Direxion Daily AAPL Bear 1X Shares,NGM,ETF,,common_like,etf,,unknown
AAPG,Ascentage Pharma Group Internat,NGM,EQUITY,Healthcare,common_like,common_stock,2622230016.0,2b_to_10b
AAPL,Apple Inc.,NMS,EQUITY,Technology,common_like,common_stock,3971820552192.0,gt_10b
AAPU,Direxion Daily AAPL Bull 2X Shares,NGM,ETF,,common_like,etf,,unknown
AARD,"Aardvark Therapeutics, Inc.",NMS,EQUITY,Healthcare,common_like,common_stock,114097888.0,50m_to_300m
AAT,"American Assets Trust, Inc.",NYQ,EQUITY,Real Estate,common_like,common_stock,1614283136.0,300m_to_2b
AAUC,Allied Gold Corporation,NYQ,EQUITY,Basic Materials,common_like,common_stock,4011834880.0,2b_to_10b
AAUS,Alpha Architect US Equity ETF,NGM,ETF,,common_like,etf,,unknown
AAVM,Alpha Architect Global Factor Equity ETF,NGM,ETF,,common_like,etf,,unknown
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NGM,ETF,,common_like,etf,,unknown
AB,AllianceBernstein Holding L.P.,NYQ,EQUITY,Financial Services,common_like,common_stock,3588939008.0,2b_to_10b
ABAT,American Battery Technology Company,NCM,EQUITY,Industrials,common_like,common_stock,447811456.0,300m_to_2b
ABBV,AbbVie Inc.,NYQ,EQUITY,Healthcare,common_like,common_stock,368574726144.0,gt_10b
ABCB,Ameris Bancorp,NYQ,EQUITY,Financial Services,common_like,common_stock,5821981696.0,2b_to_10b
ABCL,AbCellera Biologics Inc.,NMS,EQUITY,Healthcare,common_like,common_stock,1215673600.0,300m_to_2b
